"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"26948","YCCY","medium_airport","Cloncurry Airport","OC","AU","AU-QLD","Cloncurry","CNJ"
"26950","YCDU","medium_airport","Ceduna Airport","OC","AU","AU-SA","-","CED"
"27132","YCFS","medium_airport","Coffs Harbour Airport","OC","AU","AU-NSW","Coffs Harbour","CFS"
"315620","YCHK","small_airport","Christmas Creek Airport","OC","AU","AU-WA","Christmas Creek Mine","CKW"
"26955","YCKN","medium_airport","Cooktown Airport","OC","AU","AU-QLD","-","CTN"
"26957","YCMU","medium_airport","Cunnamulla Airport","OC","AU","AU-QLD","-","CMA"
"26959","YCNM","medium_airport","Coonamble Airport","OC","AU","AU-NSW","-","CNB"
"26961","YCOE","medium_airport","Coen Airport","OC","AU","AU-QLD","Coen","CUQ"
"26962","YCOM","medium_airport","Cooma Snowy Mountains Airport","OC","AU","AU-NSW","Cooma","OOM"
"26973","YDMG","small_airport","Doomadgee Airport","OC","AU","AU-QLD","-","DMD"
"32037","YDNI","small_airport","Darnley Island Airport","OC","AU","AU-QLD","Darnley Island","NLF"
"26975","YDPO","medium_airport","Devonport Airport","OC","AU","AU-TAS","Devonport","DPO"
"26980","YELD","medium_airport","Elcho Island Airport","OC","AU","AU-NT","Elcho Island","ELC"
"26981","YEML","medium_airport","Emerald Airport","OC","AU","AU-QLD","Emerald","EMD"
"26982","YESP","medium_airport","Esperance Airport","OC","AU","AU-WA","Esperance","EPR"
"27563","YFLI","small_airport","Flinders Island Airport","OC","AU","AU-TAS","Flinders Island","FLS"
"26991","YGEL","medium_airport","Geraldton Airport","OC","AU","AU-WA","Geraldton","GET"
"26994","YGLA","medium_airport","Gladstone Airport","OC","AU","AU-QLD","Gladstone","GLT"
"26998","YGTE","medium_airport","Groote Eylandt Airport","OC","AU","AU-NT","Groote Eylandt","GTE"
"26999","YGTH","medium_airport","Griffith Airport","OC","AU","AU-NSW","Griffith","GFF"
"27003","YHBA","medium_airport","Hervey Bay Airport","OC","AU","AU-QLD","Hervey Bay","HVB"
"27004","YHID","medium_airport","Horn Island Airport","OC","AU","AU-QLD","Horn Island","HID"
"27622","YHOO","small_airport","Hooker Creek Airport","OC","AU","AU-NT","Lajamanu","HOK"
"27008","YHOT","medium_airport","Mount Hotham Airport","OC","AU","AU-VIC","Mount Hotham","MHU"
"27012","YHUG","small_airport","Hughenden Airport","OC","AU","AU-QLD","-","HGD"
"27020","YJLC","small_airport","Julia Creek Airport","OC","AU","AU-QLD","-","JCK"
"27670","YKBR","small_airport","Kalbarri Airport","OC","AU","AU-WA","Kalbarri","KAX"
"27023","YKII","medium_airport","King Island Airport","OC","AU","AU-TAS","-","KNS"
"27024","YKKG","small_airport","Kalkgurung Airport","OC","AU","AU-NT","-","KFG"
"27690","YKMB","small_airport","Karumba Airport","OC","AU","AU-QLD","-","KRB"
"27026","YKOW","medium_airport","Kowanyama Airport","OC","AU","AU-QLD","Kowanyama","KWM"
"27028","YKSC","medium_airport","Kingscote Airport","OC","AU","AU-SA","-","KGC"
"27029","YKUB","small_airport","Kubin Airport","OC","AU","AU-QLD","Moa Island","KUG"
